input,hpo_strategy,f1_score,evaluation_time
Ereno,Hyperband,0.941132,23.017524480819702
Ereno,GraspHpo,0.9414319223853695,63.209224700927734
Ereno,None,0.9411531168736756,1.2799994945526123
Breast Cancer,Hyperband,0.955488,22.237338066101074
Breast Cancer,GraspHpo,0.9734654095556352,3.382995367050171
Breast Cancer,None,0.9645092460881936,0.1589975357055664
Digits,Hyperband,0.936092,22.00453472137451
Digits,GraspHpo,0.9778049030607613,22.372002363204956
Digits,None,0.9721954193792556,0.4850013256072998
Iris,Hyperband,0.967282,18.173413038253784
Iris,GraspHpo,0.9672820512820512,3.4289960861206055
Iris,None,0.9325622445187662,0.0950002670288086
Wine,Hyperband,1.0,18.47416377067566
Wine,GraspHpo,1.0,4.781242370605469
Wine,None,0.9721455938697319,0.12802958488464355
